Badea_ID,DWI,Avg_Clustering,Path_Length
200331_2,N58608,0.719623215570676,1.6219563152896486
201012_9,N58790,0.7189578222786671,1.6084330484330485
200331_14,N58302,0.7060110159431139,1.62670465337132
220110_3,N60072,0.6544927704826377,1.7966571699905034
210112_24,N59120,0.7184249761397032,1.6127635327635328
210222_12,N58861,0.7028512130807121,1.638860398860399
210201_6,N58913,0.7181803177760253,1.6158784425451092
210201_9,N58906,0.7182822639717451,1.6194112060778727
210201_8,N58909,0.7233984680556051,1.6204748338081671
210809_6,N60097,0.64811041783641,1.7981956315289649
211122_11,N60194,0.6454168791577213,1.7966381766381767
210112_7,N59039,0.7135735101509842,1.6079582146248812
210614_1,N60068,0.6543989716925572,1.7988603988603988
200302_4,N58396,0.7153592714109883,1.610465337132004
210614_4,N60060,0.6575773387035371,1.7841975308641975
200331_18,N58310,0.7104706707613511,1.6140930674264007
200331_15,N58305,0.7057900725365888,1.6211775878442545
210906_1,N60163,0.6571633576581144,1.7927065527065527
200302_7,N58361,0.7227130178814143,1.6045584045584045
