BadeaID,Badea_ID,Module_1_Eigengene,Module_2_Eigengene,Module_4_Eigengene,Module_5_Eigengene,Module_6_Eigengene,Module_7_Eigengene,Module_8_Eigengene,Module_9_Eigengene,Module_10_Eigengene
200302_9,200302_9,-1.733733825,-2.417193234,-0.8160439,1.271016072883188,-0.481896611,2.580439818419911,-1.555160958,-0.714894179,-46.92072986
200331_1,200331_1,-1.0762487,-2.212924826,-0.286678097,1.5946794525334926,-1.422317497,-0.914855684,0.4086531480216687,2.486130242058382,-50.36228728
200331_10,200331_10,0.52739765,-1.582708572,-0.260474224,5.507546452429931,0.5280925124440069,-0.598213665,-0.42596941,-1.142620875,-19.75294256
200331_11,200331_11,0.9932060846940853,2.0469011623139717,0.15860130846322257,4.087401444471865,-0.696822747,1.5332831112306418,0.6513248026820633,-0.07853384,-38.26922012
200331_12,200331_12,1.559561295009844,-1.9880107,3.051176919,-1.429799978,1.0351381766716765,-1.930442024,-0.381576344,3.638367734207674,-4.3850439
200331_13,200331_13,-1.281793784,-0.696634563,1.6613518632953488,0.29446549188970716,-0.604919198,-1.03690812,-1.910047585,0.8830316480093521,-44.48109415
200331_14,200331_14,0.6772135570466695,0.13985801289349356,0.7274234785717363,2.5232964292414715,1.3064500536995267,3.6188727584425258,3.0204007325029414,0.8522407772050998,-35.72242091
200331_15,200331_15,-1.23957745,-0.743038789,-0.435681266,2.346316278310245,1.0192127819510834,-0.098843582,-0.385649776,0.018541872,-16.69231519
200331_16,200331_16,-1.245694335,-0.899992471,4.414905819259892,-2.23896607,0.6930052518965112,2.8005552489004315,-0.599208227,-0.325049221,-54.06533749
200331_17,200331_17,0.42299213652477546,-2.202689867,2.4152890368094124,-0.482828997,-0.920753503,-1.818063437,-0.1301536,-0.725545519,-40.66924506
200331_18,200331_18,0.90846797,1.955598361380168,3.195370300574221,2.484163495500389,2.5771784627015535,1.7863993329943102,0.2796615082941178,-0.324018921,-19.86314828
200331_2,200331_2,-0.456649895,1.7494315099356796,0.3554631467380142,1.0787045919036042,0.36822406334413277,1.6234674628909067,1.0699027290433814,0.23125216244534827,-38.16815183
200331_20,200331_20,0.4114822878202864,0.5775545502569533,-0.364001934,-0.86923022,-2.504374428,-1.94062578,0.871638638,3.1436160968394034,6.079000779
200331_3,200331_3,0.7283436265835147,0.10166538451702299,0.46189414170115184,-0.94072884,-0.755854084,4.550261507545128,2.0803372050380857,-0.47709262,-44.20242744
200331_4,200331_4,-0.556511082,3.901734184,0.08613502,1.1843613690823265,0.7017698581144809,0.029053043978184263,-0.970795992,3.7574430636491356,-22.30423031
200331_5,200331_5,1.0793143488691475,-0.608535197,1.8421785476342356,1.0772323487221218,-1.55738398,-0.552188971,-0.229216372,0.30570957833107215,-51.07303814
200331_7,200331_7,0.054654898840089415,-1.161513628,0.7099960629160911,-0.07052091,2.5795208088872856,1.3414934160714802,0.003660021,1.0802402363962913,-26.27545751
200331_8,200331_8,1.7557413982971022,-2.198080539,-1.369289495,-1.361399107,-2.159709269,-1.039746346,-1.000208,7.783837411357579,37.84987927623231
200331_9,200331_9,-0.115459108,-1.020798439,-1.503500815,5.429881693837801,4.663900901870913,1.3509978087499386,-0.776065011,-0.701845655,5.391508186
210118_17,210118_17,0.1537976019479982,-2.873234714,-1.018122362,2.8723479026110255,0.2538396485289339,1.697796353823072,-0.383648512,-0.786454767,-15.24061293
210118_24,210118_24,-0.027042984,-0.969264757,-0.57091565,-0.354234532,-0.826772924,1.9274458516766042,-1.302155308,0.4390824139370601,-56.83031083
210730_1,210730_1,-1.089422586,0.3687026826525823,-2.097471711,-3.004045179,-0.887130286,-1.897885725,-3.265349265,-0.806433003,-104.7455826
210730_2,210730_2,3.082190422022098,0.26702659683406493,0.5460341458444067,0.35924600229968595,-0.155157835,1.2359733806992932,-0.091156644,-0.93356747,-14.91540438
210730_3,210730_3,-0.664288415,-1.830173451,-0.800330463,-1.702611983,-0.969489432,2.504102263764532,2.8748701932664797,-0.372254002,123.36808487530755
210730_5,210730_5,-0.592712537,0.1057540300079111,-1.318293332,-0.929343084,1.142986033340632,1.5162695493316987,0.9779766096560687,-0.884645891,54.586139260871626
210730_6,210730_6,-0.804770153,-0.081633683,0.008179609,-1.43104194,2.5087068435661206,-0.251959173,3.3369785287453264,-0.689512938,89.11702370823974
210730_8,210730_8,-1.687511287,-0.34009556,-0.380955327,0.30360179791307085,-1.176649781,1.4123619599114583,1.1037063485186998,-1.965514705,50.8329471
210809_4,210809_4,1.1434892706771318,-0.036761369,1.2626723522275194,1.2161392090974943,0.5401842233251487,-1.190163572,-0.50541844,-0.992192235,26.52351583
