Badea_ID,Module_1_Eigengene,Module_2_Eigengene,Module_4_Eigengene,Module_5_Eigengene,Module_6_Eigengene,Module_7_Eigengene,Module_8_Eigengene,Module_9_Eigengene,Module_10_Eigengene,DWI,Avg_Clustering,Path_Length
200331_13,-1.2817937843999982,-0.6966345627122248,1.6613518632953488,0.29446549188970716,-0.604919197578338,-1.0369081204030024,-1.9100475848971648,0.8830316480093521,-44.48109415031024,N58514,0.7153977537577915,1.6194681861348528
200331_14,0.6772135570466695,0.13985801289349356,0.7274234785717363,2.5232964292414715,1.3064500536995267,3.6188727584425258,3.0204007325029414,0.8522407772050998,-35.72242090623576,N58302,0.7060110159431139,1.62670465337132
200331_15,-1.2395774501220675,-0.7430387892371167,-0.4356812661371049,2.346316278310245,1.0192127819510834,-0.09884358239198522,-0.38564977586986005,0.01854187231884529,-16.69231518825068,N58305,0.7057900725365888,1.6211775878442545
200331_16,-1.2456943346331288,-0.8999924713425327,4.414905819259892,-2.2389660700995604,0.6930052518965112,2.8005552489004315,-0.5992082271028525,-0.3250492207130986,-54.06533749274348,N58303,0.7085793230056473,1.6199620132953467
200331_17,0.42299213652477546,-2.2026898668648993,2.4152890368094124,-0.48282899676355645,-0.9207535031814138,-1.8180634369359958,-0.13015359968540746,-0.7255455194752087,-40.669245060213456,N58309,0.712105060881099,1.6161633428300095
200331_18,0.908467969567536,1.955598361380168,3.195370300574221,2.484163495500389,2.5771784627015535,1.7863993329943102,0.2796615082941178,-0.32401892124045945,-19.863148282017466,N58310,0.7104706707613511,1.6140930674264007
200331_2,-0.45664989537045353,1.7494315099356796,0.3554631467380142,1.0787045919036042,0.36822406334413277,1.6234674628909067,1.0699027290433814,0.23125216244534827,-38.16815182996971,N58608,0.719623215570676,1.6219563152896486
200331_20,0.4114822878202864,0.5775545502569533,-0.36400193443505663,-0.86923021966154,-2.5043744280326314,-1.9406257799971325,0.871638637796571,3.1436160968394034,6.07900077901354,N58355,0.7090204813691574,1.6217283950617285
200331_4,-0.5565110815100247,3.90173418429071,0.08613501988477962,1.1843613690823265,0.7017698581144809,0.029053043978184263,-0.9707959917046052,3.7574430636491356,-22.304230307899843,N58606,0.7270732848390058,1.6055840455840455
200331_5,1.0793143488691475,-0.6085351968699253,1.8421785476342356,1.0772323487221218,-1.5573839802019405,-0.5521889705319852,-0.22921637167686518,0.30570957833107215,-51.073038140826085,N58604,0.7200555112853211,1.6104843304843306
200331_7,0.054654898840089415,-1.1615136282434413,0.7099960629160911,-0.07052090999929053,2.5795208088872856,1.3414934160714802,0.0036600206256028178,1.0802402363962913,-26.275457509897127,N58512,0.7127977884335182,1.623456790123457
200331_8,1.7557413982971022,-2.1980805391094855,-1.369289494837098,-1.361399106506325,-2.1597092688557877,-1.039746346047356,-1.000207999904315,7.783837411357579,37.84987927623231,N58477,0.7263354676245235,1.6063057929724596
200331_9,-0.11545910827981466,-1.020798439384972,-1.5035008152133127,5.429881693837801,4.663900901870913,1.3509978087499386,-0.7760650106526904,-0.7018456549766184,5.39150818574538,N58500,0.719216787170879,1.6195631528964862
210809_5,-0.31243768840775626,-0.014627997739615307,2.096138633786532,1.1889161896762654,-0.6047929411143287,-1.482015794574794,-0.5322859243976544,0.056185039745950266,-9.140861008941046,N60103,0.6427160518141378,1.8065906932573599
210906_2,-1.938041487816574,0.2413432169327783,-2.7171631164646883,-0.3759165272143424,-0.17839312979795718,2.3056513931040623,-1.1199321403541271,3.1786190633485654,89.29543863591235,N60169,0.6432753490836541,1.8042735042735043
