,0
Cd68,10
Lsp1_1,10
Avpi1,10
Rad51d,10
Rars1,10
Mrpl45,10
Pelp1,10
Med11,10
Ccl6_1,10
Natd1,10
Map2k3,10
Ywhah,10
Sart3,10
Slc35b4_1,10
Use1_1,10
Dalrd3_1,10
Fis1,10
Plod1,10
Atp6ap1,10
Cd22,10
Ccl9,10
BC005537,10
Isyna1,10
Tmem160,10
Mdh2_1,10
Rnf145,10
Atp6v1e1,10
Dvl2,10
Tecr_1,10
Map1s,10
Nop9,10
Rnf31,10
Psme3,10
D8Ertd738e,10
Calm3_1,10
Cops3,10
Zfp874b,10
Ddx39a,10
Gipc1,10
Xab2,10
Cdc37_1,10
Cops6_1,10
Ubb_1,10
Ap4m1,10
Mknk1,10
Arid3a,10
Ubxn6_1,10
Mydgf,10
Plin3,10
Ccdc12_1,10
Fmc1,10
Mrpl24_1,10
Gle1,10
Leng1,10
Polr2i_1,10
Hdac2,10
Rwdd1,10
Katna1,10
Sec63_1,10
Snx3_1,10
Ltv1,10
Cd164,10
Smpd2,10
Rab32,10
Traf3ip2,10
Abracl,10
Asf1a_1,10
Crybg1,10
Vta1,10
Smpdl3a,10
Reep3_1,10
Serinc1,10
Ccdc59,10
Lims1,10
Zwint_1,10
Ube2d1,10
Slc17a8,10
Atp2b1,10
Bltp3b,10
Poc1b,10
Tmpo_1,10
Sgk1,10
Stx7_1,10
Snrpf,10
Nudt4,10
Tcp11l2,10
Cry1,10
Hsp90b1,10
Herc4_1,10
Ccar1_1,10
Ddx50_1,10
Srgn_1,10
Tysnd1,10
Sar1a,10
Ppa1,10
Eif4ebp2,10
Vsir_1,10
Anapc16_1,10
Ddit4,10
Mcu,10
Cand1,10
Pno1,10
Usp15_1,10
Tbc1d15_1,10
2310011J03Rik,10
Rab21,10
Ndufs7_1,10
Pwwp3a_1,10
Uqcr11,10
Frs2,10
Yeats4,10
Snrpd3_1,10
Cpm_1,10
Ap3d1,10
Timm13_1,10
Vps13d_1,10
Llph_1,10
Tmbim4,10
Helb,10
Prmt2,10
Fzr1_1,10
Ncln_1,10
Hcfc2,10
Txnrd1,10
Nopchap1,10
Wdr82,10
Pofut2,10
Adarb1,10
Hint1,10
Pfkl,10
Pex13,10
Mpg,10
Nprl3_1,10
Hbq1a,10
Nsg2,10
Cdc34_1,10
Chac2_1,10
Cct4_1,10
Wdpcp,10
Ccng1,10
Hmmr,10
Slc22a4,10
Ppp2ca,10
Hspa4,10
Canx,10
Rack1_1,10
Rufy1,10
Mrnip,10
Rad50,10
Sar1b,10
Ube2b_1,10
Med7,10
Pttg1_1,10
Btg2,10
Tns3,10
Pes1,10
Arf5,10
2310033P09Rik,10
Smtn,10
Drg1,10
Mtif2,10
Cfap36,10
Ppp4r3b,10
Pnpt1,10
Dbnl_1,10
Mrps24_1,10
Dynll2,10
Ccdc117,10
Ska2,10
Smg8,10
Mrpl22,10
Cnot8,10
Rps6kb1_1,10
Sap30l,10
Fam114a2,10
Ppm1d,10
Acaca_1,10
Bzw2_1,10
Pctp,10
Polr1f,10
Sypl1_1,10
Nampt,10
Tspan13,10
Rock2_1,10
Laptm4a,10
Trib2,10
Lratd1,10
Hs1bp3,10
Gna13_1,10
Fam20a,10
Rdh14,10
Adi1,10
Ubxn2a,10
Cmpk2,10
Rsad2,10
Rnf144a_1,10
Id2,10
Bcap29,10
Rrm2,10
Cenpo,10
Klf11,10
Adcy3,10
Sh3yl1,10
Rab10,10
Taf15_1,10
Itgb3,10
Rffl_1,10
Ddx42,10
Ftsj3,10
Psmc5,10
Smarcd2_1,10
Polg2,10
Ddx5_1,10
Psmd12_1,10
Rab37,10
Nherf1,10
Fdxr,10
Nt5c_1,10
Jpt1,10
Nup85_1,10
Mif4gd,10
Slc25a19,10
Grb2,10
Pafah1b1_1,10
Recql5_1,10
Sap30bp_1,10
Galk1,10
Ten1_1,10
Srp68,10
Ncbp3,10
Atp2a3,10
Ube2g1,10
Med31,10
Txndc17,10
Mxra7,10
Mfsd11,10
Eral1,10
Blmh,10
Cpd,10
Timm22,10
Nxn,10
Rflnb,10
Nme2_1,10
Nme1_1,10
Lrrc59,10
Scrn2,10
Vamp2_1,10
Pik3r5,10
Stx8_1,10
Stx8_2,10
Tmem101,10
Lsm12_1,10
Eftud2_1,10
Nmt1,10
Fmnl1_1,10
Map3k14,10
Gosr2,10
Scfd1,10
Ap4s1,10
Gtf2a1,10
Dnaaf2,10
Klhdc2,10
Nemf_1,10
Sec23a,10
Cdkl1,10
Gemin2,10
Pnn,10
2700097O09Rik_1,10
Srp54a_1,10
Ppp2r3c,10
Psma6,10
Nfkbia,10
Sptlc2_1,10
Ahsa1_1,10
Snw1,10
Sgpp1_1,10
Sptb_1,10
Sav1,10
Tmx1,10
Actr10_1,10
Dhrs7_1,10
Ppm1a_1,10
Glrx5_1,10
Prkch,10
Snapc1,10
Atp6v1d_1,10
Zfyve26_1,10
Arg2,10
Zfp36l1,10
Actn1,10
Erh,10
Wdr37,10
Gtpbp4_1,10
Cdca7l,10
Tdp1,10
Psmc1,10
Nrde2,10
Trip11,10
Atxn3,10
Pitrm1,10
Pfkp_1,10
Otub2,10
Acot2,10
Acot4,10
Npc2_1,10
Fcf1,10
Erg28_1,10
Angel1,10
Yy1,10
Hsp90aa1_1,10
Atp5mj,10
Adss1,10
Gpr137b_1,10
Mrs2,10
Exoc2,10
Tmem14c,10
Mcur1_1,10
Nup153,10
Dek,10
Susd3,10
Nol8,10
Wrnip1,10
Ripk1_1,10
Ly86,10
Ssr1_1,10
Ctla2a_1,10
Ctla2b,10
Gadd45g,10
Auh_1,10
Sptlc1,10
Habp4,10
Sfxn1,10
Ctsl,10
Zfp346,10
Lman2_1,10
Prelid1_1,10
Fam193b_1,10
Pcbd2,10
Txndc15,10
Uqcrb,10
Rsl1,10
Qng1,10
Naa35,10
Tppp,10
Pdcd6,10
Sdha,10
Ccdc127,10
Lrrc14b,10
Med10,10
Ndufs6,10
Mrpl36,10
Clptm1l_1,10
Cd180,10
Ak6,10
Smn1,10
Ptcd2,10
Hexb,10
Hmgcr,10
F2rl2,10
F2rl1,10
Aggf1,10
Ap3b1_1,10
Scamp1,10
Kif2a_1,10
Elovl7,10
Dhfr,10
Trim23,10
Ppwd1,10
Cwc27,10
Emb,10
Mrps30,10
Psmd6,10
Atxn7,10
Pdhb,10
Mtrex,10
Ndufs4_1,10
Vdac2,10
Ube2e1,10
Prxl2a_1,10
Glud1,10
Rtraf,10
Ecd,10
Dnajc9_1,10
Mss51,10
Ppp3cb_1,10
Plau,10
Vcl,10
Txndc16_1,10
Ero1a,10
Psmc6_1,10
Anxa11,10
Ppif,10
Eaf1,10
Tasor_1,10
Capn7,10
Bap1,10
Dph3_1,10
Ebpl,10
Kpna3,10
Rnaseh2b,10
Zmym2,10
Cryl1,10
Eef1akmt1,10
Pinx1,10
Tkt_1,10
Lats2,10
Mrpl57_1,10
Micu2,10
Hmbox1,10
Extl3,10
Cab39l,10
Esd_1,10
Slc25a30,10
Gpalpp1,10
Nufip1,10
Tsc22d1_1,10
Dnajc15_1,10
Epsti1,10
Naa16_1,10
Gene_3,10
Wbp4_1,10
Esco2,10
Ccdc25,10
Clu_1,10
Trim35,10
Dpysl2,10
Bnip3l,10
Loxl2,10
Tnfrsf10b,10
Rhobtb2,10
Bin3,10
Pdlim2,10
Sorbs3,10
Fhip2b,10
Xpo7_1,10
Dok2,10
Gfra2,10
Rb1,10
Itm2b_1,10
Med4,10
Sucla2_1,10
Spry2,10
Fbxl3,10
Cln5,10
Gpr180,10
Dnajc3,10
Tox4,10
Dad1,10
Lrp10_1,10
Haus4,10
Fbxo4,10
Acin1_1,5
Psmb5,10
Pabpn1_1,10
Ngdn,10
Sub1_1,10
Dhrs4,10
Emc9,10
Cct5,10
Tars1_1,10
Brix1,10
Mtdh_1,10
Ank_1,10
Rnf19a,10
Ywhaz,10
Rrm2b,10
Atp6v1c1,10
Slc25a32,10
Dcaf13_1,10
Angpt1,10
Eif3h,10
Rad21,10
Rida,10
Fam135b,10
Eif3e,10
Emc2,10
Ebag9,10
Ndufb9,10
Fbxo32,10
Derl1,10
Rbx1_1,10
St13_1,10
Slc25a17,10
Tab1,10
Apobec3_1,10
Josd1,10
Tomm22_1,10
Cby1,10
Fam118a,10
Samm50,10
Parvb,10
Parvg,10
Ndufa6_1,10
Smdt1_1,10
Twf1,10
Naga_1,10
Slc38a2_1,10
Srebf2_1,10
Rpap3,10
Aco2,10
Phf5a_1,10
Itga5,10
Pde1b,10
Litaf_1,10
Nubp1,10
Ciita,10
Hapstr1_1,10
Bcl6,10
Mgrn1,10
Crebbp,10
Glyr1,10
Ercc4,10
Cyc1_1,10
Sharpin_1,10
Maf1_1,10
Hgh1,10
Dgat1,10
Bop1,10
Fbxl6,10
Grina_1,10
Eef1d_1,10
Gsdmd,10
