X,HN,APOE,ID,Treatment,Genotype,Sex,Age,Age_Cat,Diet,Stage,Trial,Distance,Time.freezing,Time.mobile,Object1_head.entries,Object1_head.time,Obj1_RI,Object1_latency.to.first.entry,Object1_time.mobile,Object1_time.immobile,Object1...in.zone.oriented.to.centre,Object1_time.freezing,Object2_head.entries,Object2_head.time,Obj2_RI,Object2_latency.to.first.entry,Object2_time.mobile,Object2_time.immobile,Object2...in.zone.oriented.to.centre,Object2_time.freezing,Object3_head.entries,Object3.headtime,Object3_latency.to.first.entry,Object3...in.zone.oriented.to.centre,Object4_head.entries,Object4.headtime,Object4_latency.to.first.entry,Object4...in.zone.oriented.to.centre,Outerzone_head.entries,Outerzone.headtime,Outerzone.distance,Outerzone_latency.to.first.entry,Outerzone_average.speed,Outerzone_time.mobile,Outerzone_time.immobile,Outerzone_time.freezing,Centerzone_head.entries,Centerzone_head.time,Centerzone_distance,Centerzone_latency.to.first.entry,Centerzone_average.speed,Centerzone_time.mobile,Centerzone_time.immobile,Centerzone.time.freezing,Object1Center...head.time.oriented.towards,Object2Center...head.time.oriented.towards,Total_time,Tracked_time,Percentage_time_center,Percentage_time_outerzone
4157,1,APOE3,210614-16,E3HN_F,E3HN,Female,12,Young,HFD,Day2_IdenticalObject,2,1.823,58.2,43.1,6,4.7,1,1,4.3,0.3,1.4,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,17,54,0.903,13.4,0.01,21.5,69.4,58.2,5,2.5,0,0,0,1.1,0.1,0,NA,NA,101.3,150.3,0.731869594,14.30472389
4158,1,APOE3,210614-31,E3HN_F,E3HN,Female,12,Young,HFD,Day2_IdenticalObject,2,2.092,68.8,25.8,1,1.6,1,48.5,1.6,0,1,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,115.8,1.428,1,0.012,24.5,94.2,68.8,0,0,0,NA,NA,0,0,0,56.2,52,94.6,187.5,0,13.06666667
4159,1,APOE3,210614-17,E3HN_F,E3HN,Female,12,Young,Control,Day2_IdenticalObject,2,2.715,38.4,45.1,0,0,0,NA,0,0,0,0,4,2.7,1,0,2.2,0.5,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,14,92,2.109,1.8,0.022,36.8,60.8,30.3,0,0,0.073,0.8,0.121,0.6,0,0,NA,NA,83.5,128.5,0.46692607,28.6381323
4160,1,APOE3,210614-18,E3HN_F,E3HN,Female,12,Young,Control,Day2_IdenticalObject,2,1.42,97.9,18.6,1,1,0.625,64,1,0,0,0,1,0.6,0.375,0.7,0.6,0,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,2,114.2,0.886,2.6,0.008,12.8,101.4,97.9,2,4.4,0.324,0,0.074,4.4,0,0,NA,NA,116.5,216.5,2.032332564,5.912240185
4161,1,APOE3,210614-19,E3HN_F,E3HN,Female,12,Young,Control,Day2_IdenticalObject,2,0.753,109,18,1,1.1,1,118.9,1.1,0,0.2,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,118.2,0.672,0.9,0.006,16.2,102,109,1,0.6,0,NA,NA,0,0,0,NA,NA,127,227.2,0,7.13028169
4162,1,APOE3,210614-20,E3HN_F,E3HN,Female,12,Young,Control,Day2_IdenticalObject,2,2.415,45.2,56.8,1,0.3,0.1,104.9,0.3,0,0.1,0,2,2.7,0.9,6.5,2.7,0,1.9,0,NA,NA,NA,NA,NA,NA,NA,NA,22,83.7,1.418,4.2,0.015,38.3,55.7,38,3,3.8,0.282,49.6,0.064,4.4,0,0,28,13.7,102,136.4,3.225806452,28.07917889
4163,1,APOE3,210614-21,E3HN_F,E3HN,Female,12,Young,Control,Day2_IdenticalObject,2,4.282,26.7,82.3,3,3.6,0.3870968,48.9,3.6,0,1.1,0,5,5.7,0.6129032,6,5.7,0,2.6,0,NA,NA,NA,NA,NA,NA,NA,NA,21,66.7,1.946,0.8,0.032,42.8,18.9,12.3,9,11,0.592,0,0.046,13,0,0,NA,NA,109,87,14.94252874,49.1954023
4164,1,APOE3,210614-22,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,2,2.779,65.7,55.3,3,3,0.4615385,102.2,3,0,0.6,0,4,3.5,0.5384615,24,0.9,2.6,3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,16,70.7,1.641,0,0.022,31,45,45.8,4,9.1,0.26,1.2,0.027,6.8,3,1.7,NA,NA,121,133.3,5.101275319,23.25581395
4165,1,APOE3,210614-23,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,2,0.417,98.4,10.4,0,0,0,NA,0,0,0,0,3,1.9,1,83.2,1.3,0.6,1.1,0,NA,NA,NA,NA,NA,NA,NA,NA,9,108.8,0.174,4.2,0.002,2.8,105.9,95.8,1,2.6,0.078,0,0.03,2.6,0,0,NA,NA,108.8,207.1,1.255432158,1.352003863
4166,1,APOE3,210614-24,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,2,4.71,12.6,75.9,2,4.6,0.7301587,87.5,4.6,0,1.2,0,5,1.7,0.2698413,51.5,1.7,0,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,23,91.3,3.023,0,0.036,53.9,29.8,10,4,4.9,0.218,89.2,0.051,4.3,0,0,8.1,11.5,88.5,98,4.387755102,55
4167,1,APOE3,210614-25,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,2,4.172,15.7,64.2,3,4.1,0.6507937,49.9,4,0.1,3,0,5,2.2,0.3492063,27.5,2.2,0,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,20,86.9,2.382,2.3,0.025,38.1,55.8,15.7,9,12.5,0.861,0,0.063,13.7,0,0,NA,NA,79.9,123.3,11.11111111,30.90024331
4168,1,APOE3,210614-26,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,2,3.023,55.9,53,3,3.1,0.3069307,92.9,2.7,0.4,0.6,0,5,7,0.6930693,85.8,3.2,3.7,2.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,19,71.1,1.732,1.2,0.021,33,50.5,42.9,5,6.9,0.335,0,0.052,6.4,0,1,NA,NA,108.9,133.8,4.783258595,24.66367713
4169,1,APOE3,210614-27,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,2,2.554,92.2,28.1,0,0,0,NA,0,0,0,0,3,1.4,1,10.5,1.4,0,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,4,110.5,1.411,2.2,0.013,15.8,91.9,92.2,2,2.2,0.463,0,0.094,4.9,0,0,NA,NA,120.3,204.8,2.392578125,7.71484375
4170,1,APOE3,210614-28,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,2,0.058,79.8,2.8,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,119.9,0.058,0,0,2.8,117.2,79.8,0,0,0,NA,NA,0,0,0,37.3,39.9,82.6,199.8,0,1.401401401
4171,1,APOE3,210614-29,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,2,0.769,94.5,30.1,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,118.3,0.692,0,0.006,26.4,82.4,87.9,0,0,0,NA,NA,0,0,0,NA,NA,124.6,196.7,0,13.42145399
4172,1,APOE2,210614-30,E3HN_M,E2HN,Male,12,Young,Control,Day2_IdenticalObject,2,0.712,111.7,8.1,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,120,0.712,0,0.006,8.1,111.9,111.7,0,0,0,NA,NA,0,0,0,NA,NA,119.8,231.7,0,3.495899871
4173,1,APOE2,210614-1,E2HN_F,E2HN,Female,12,Young,HFD,Day2_IdenticalObject,3,4.129,66.9,31.8,0,0,0,NA,0,0,0,0,2,2.3,1,75.5,2.3,0,2.3,0,NA,NA,NA,NA,NA,NA,NA,NA,13,100.8,2.503,0.9,0.023,23.5,85.9,66.9,1,4.6,0.325,0,0.076,2,2.3,0,15.6,9,98.7,180.6,1.107419712,13.01218162
4174,1,APOE2,210614-2,E2HN_F,E2HN,Female,12,Young,HFD,Day2_IdenticalObject,3,5.782,56.6,42.8,1,1,0.625,18,1,0,0.6,0,1,0.6,0.375,82.8,0.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,77.6,1.754,16.5,0.024,15.6,56.8,41,4,9.1,0.704,0,0.025,11.6,16.1,15.6,NA,NA,99.4,156.7,7.402680281,9.955328653
4175,1,APOE2,210614-3,E2HN_F,E2HN,Female,12,Young,HFD,Day2_IdenticalObject,3,2.883,83.1,41,3,2.7,0.7941176,43.4,0.3,2.4,1.5,0,3,0.7,0.2058824,41.3,0.7,0,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,6,93.7,1.35,0,0.015,17.8,72.5,77.3,4,8.5,0.386,18.4,0.04,9.6,0,1.6,NA,NA,124.1,178.8,5.369127517,9.955257271
4176,1,APOE2,210614-4,E2HN_F,E2HN,Female,12,Young,HFD,Day2_IdenticalObject,3,2.749,105.2,60.8,0,0,0,NA,0,0,0,0,1,38.7,1,0,38.7,0,0,38.7,NA,NA,NA,NA,NA,NA,NA,NA,3,77.7,1.929,0,0.017,56.4,59.2,104.4,0,0,0.02,42.6,0.091,0.2,0,0,NA,NA,166,220.2,0.090826521,25.61307902
4177,1,APOE2,210614-5,E2HN_F,E2HN,Female,12,Young,HFD,Day2_IdenticalObject,3,5.377,32.1,63,3,3.6,0.4186047,66.3,3.6,0,3.5,0,4,5,0.5813953,64,5,0,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,17,78.3,2.873,0.7,0.047,36.1,25.6,14.7,7,13,1.03,0,0.08,12.9,0,0,20.5,11.8,95.1,89.3,14.44568869,40.42553191
4178,1,APOE2,210614-6,E2HN_M,E2HN,Male,12,Young,HFD,Day2_IdenticalObject,3,4.692,39.8,49.6,0,0,0,NA,0,0,0,0,1,0.9,1,113.4,0.9,0,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,14,108.3,3.869,1.8,0.036,41.7,65.4,35.6,2,2.4,0.184,0,0.084,2.2,0,0,NA,NA,89.4,144.9,1.518288475,28.77846791
4179,1,APOE2,210614-7,E2HN_M,E2HN,Male,12,Young,HFD,Day2_IdenticalObject,3,4.753,88,47.9,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,85.4,1.864,2.9,0.023,8.1,72.1,67.4,1,1.9,0.182,0,0.053,3.5,0,1.3,NA,NA,135.9,152.4,2.296587927,5.31496063
4180,1,APOE3,210614-8,E3HN_M,E3HN,Male,12,Young,HFD,Day2_IdenticalObject,3,3.433,80.5,48.2,0,0,0,NA,0,0,0,0,1,37.3,1,0,34.3,3,0,26.8,NA,NA,NA,NA,NA,NA,NA,NA,1,81.3,1.951,9.9,0.021,22.8,68.8,64.6,1,0.6,0.311,0.2,0.347,0.7,0.2,0,NA,NA,128.7,157.1,0.445576066,14.51304901
4181,1,APOE3,210614-9,E3HN_M,E3HN,Male,12,Young,HFD,Day2_IdenticalObject,3,3.676,34,53,8,6.3,0.5675676,36.1,3,3.3,2.4,0,5,4.8,0.4324324,32.8,2.5,2.3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,11,91.3,2.265,0,0.024,33.5,59.2,34,8,15,0.468,34.4,0.033,6.5,7.7,0,2.6,3.8,87,140.9,4.613200852,23.77572747
4182,1,APOE3,210614-10,E3HN_M,E3HN,Male,12,Young,HFD,Day2_IdenticalObject,3,4.705,13.5,78.5,7,11.7,0.5652174,44.3,4.4,7.3,1.6,0,4,9,0.4347826,14.5,9,0,4.5,0,NA,NA,NA,NA,NA,NA,NA,NA,22,68.3,2.106,0.9,0.038,37.2,18.2,7.1,11,19.1,1.245,0,0.073,14.8,2.2,1.1,NA,NA,92,80.6,18.36228288,46.15384615
4183,1,APOE3,210614-11,E3HN_M,E3HN,Male,12,Young,HFD,Day2_IdenticalObject,3,1.135,101.7,16.7,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,94.2,0.311,2.8,0.003,8.2,86,84.3,3,4.7,0.329,0,0.076,4.3,0,0,NA,NA,118.4,182.8,2.352297593,4.485776805
4184,1,APOE3,210614-12,E3HN_M,E3HN,Male,12,Young,HFD,Day2_IdenticalObject,3,3.663,45.1,57,2,1.5,0.12,34.6,1.5,0,0.5,0,5,11,0.88,0.2,8.2,2.8,5.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,13,93,2.338,4.5,0.025,39,54.4,41.2,3,9.5,0.611,0,0.093,6.5,0,0,NA,NA,102.1,141.1,4.606661942,27.63997165
4185,1,APOE3,210614-13,E3HN_F,E3HN,Female,12,Young,HFD,Day2_IdenticalObject,3,2.94,30.1,40.9,1,0.5,0.1470588,2.3,0.5,0,0,0,4,2.9,0.8529412,54.8,2.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,14,79.4,2.052,4,0.02,27.4,76.2,28.9,6,4.8,0.26,0,0.081,3.2,0,0,22.5,20.3,71,135.7,2.358142962,20.19159912
4186,1,APOE3,210614-14,E3HN_F,E3HN,Female,12,Young,HFD,Day2_IdenticalObject,3,1.1,87.5,18.6,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,114.8,0.774,1.7,0.007,14,101.4,87.5,2,2.1,0.163,0,0.066,2.5,0,0,NA,NA,106.1,205.4,1.217137293,6.815968841
4187,1,APOE3,210614-15,E3HN_F,E3HN,Female,12,Young,HFD,Day2_IdenticalObject,3,0.375,115.2,18.9,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,119.7,0.35,0.3,0.003,18.4,101.1,115.2,0,0,0,NA,NA,0,0,0,NA,NA,134.1,234.7,0,7.839795484
4188,1,APOE3,210614-16,E3HN_F,E3HN,Female,12,Young,HFD,Day2_IdenticalObject,3,0.393,109.5,11.8,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,115.2,0.233,5.3,0.002,9,105.7,109.5,3,2.8,0.087,0,0.019,2.1,2.5,0,NA,NA,121.3,228.8,0.917832168,3.933566434
4189,1,APOE3,210614-31,E3HN_F,E3HN,Female,12,Young,HFD,Day2_IdenticalObject,3,0.597,69.9,12.5,0,0,0,NA,0,0,0,0,2,1.9,1,9.3,1.9,0,1.4,0,NA,NA,NA,NA,NA,NA,NA,NA,24,70.7,0.566,0,0.005,8.3,107.5,69.9,3,1.3,0,NA,NA,0,0,0,77,46.9,82.4,185.7,0,4.469574583
4190,1,APOE3,210614-17,E3HN_F,E3HN,Female,12,Young,Control,Day2_IdenticalObject,3,0.96,83.4,17.2,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,120,0.924,0.5,0.008,16.7,102.8,83.4,0,0,0,NA,NA,0,0,0,NA,NA,100.6,202.9,0,8.230655495
4191,1,APOE3,210614-18,E3HN_F,E3HN,Female,12,Young,Control,Day2_IdenticalObject,3,4.015,80.9,35.2,1,0.1,1,119.9,0.1,0,0.1,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,112.3,2.781,0.3,0.026,28.2,78.8,76.3,1,1.7,0.196,118.4,0.223,0.9,0,0,NA,NA,116.1,184.2,0.488599349,15.30944625
4192,1,APOE3,210614-19,E3HN_F,E3HN,Female,12,Young,Control,Day2_IdenticalObject,3,1.461,106.9,12.2,1,0.3,1,0.8,0.3,0,0.3,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,19,97.5,0.819,2,0.007,9.3,107.8,106.9,1,1.4,0.432,0,0.195,2.2,0,0,NA,NA,119.1,226.2,0.972590628,4.111405836
4193,1,APOE3,210614-20,E3HN_F,E3HN,Female,12,Young,Control,Day2_IdenticalObject,3,1.537,76.6,31.7,0,0,0,NA,0,0,0,0,1,0.7,1,99.1,0.7,0,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,6,111,1.396,0.8,0.012,29.2,82.9,73.4,0,0,0,NA,NA,0,0,0,6.4,6.4,108.3,185.5,0,15.74123989
4194,1,APOE3,210614-21,E3HN_F,E3HN,Female,12,Young,Control,Day2_IdenticalObject,3,3.352,53.9,51.2,1,1,0.4347826,40.3,1,0,0.9,0,1,1.3,0.5652174,38.1,1.3,0,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,9,105.8,2.957,0,0.026,45.6,68.8,53.9,2,3.1,0.209,39.7,0.067,3.1,0,0,NA,NA,105.1,171.4,1.808634772,26.60443407
4195,1,APOE3,210614-22,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,3,4.445,28.3,95.2,15,15.5,0.625,19.9,9.6,6,6.3,4.5,6,9.3,0.375,0.8,5.5,3.8,7.5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,16,50.8,2.004,0,0.032,50,12.4,17.6,9,14.5,0.607,19.8,0.059,10.3,0,1.1,NA,NA,123.5,91.4,11.26914661,54.70459519
4196,1,APOE3,210614-23,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,3,3.34,55,56.4,2,1.1,0.3928571,61.8,1.1,0,1,0,2,1.7,0.6071429,76.2,1.7,0,1.1,0,NA,NA,NA,NA,NA,NA,NA,NA,12,75.5,2.345,2,0.022,44.4,63.6,55,4,4,0.377,0.5,0.105,3.6,0,0,NA,NA,111.4,166.6,2.160864346,26.65066026
4197,1,APOE3,210614-24,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,3,4.826,10.5,79.6,6,9.2,0.779661,23.1,7.2,2,3.1,0,4,2.6,0.220339,7.4,2.6,0,1.8,0,NA,NA,NA,NA,NA,NA,NA,NA,15,72.7,2.769,0.8,0.035,49.2,29.3,8.4,10,8,0.31,67.9,0.095,3.2,0,0,7.8,8.4,90.1,90.1,3.551609323,54.60599334
4198,1,APOE3,210614-25,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,3,4.122,24,68.4,2,0.6,0.08108108,22.8,0.6,0,0.6,0,4,6.8,0.9189189,45.4,3.8,2.9,2.4,0,NA,NA,NA,NA,NA,NA,NA,NA,18,89.2,2.861,1.1,0.029,51.9,45.1,21.8,7,10.6,0.51,0,0.061,8.1,0.3,0,NA,NA,92.4,127.2,6.367924528,40.80188679
4199,1,APOE3,210614-26,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,3,3.564,59.3,62,0,0,0,NA,0,0,0,0,6,8.2,1,71.1,5.8,2.3,2.5,1.6,NA,NA,NA,NA,NA,NA,NA,NA,15,77.3,2.045,6.3,0.023,41.2,46.2,48.5,5,8.9,0.417,0,0.047,5.7,3.2,1.3,NA,NA,121.3,146.1,3.901437372,28.19986311
4200,1,APOE3,210614-27,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,3,2.132,80.8,30.7,1,1.3,0.6842105,118.7,1.3,0,0.6,0,1,0.6,0.3157895,0,0.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,113.7,1.826,1.4,0.016,25.7,89.3,80.8,2,2.7,0.153,0,0.061,2.5,0,0,NA,NA,111.5,198.3,1.260716087,12.96016137
4201,1,APOE3,210614-28,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,3,4.525,13.6,68,2,4.2,0.5833333,71.3,4.2,0,1,0,2,3,0.4166667,3.7,3,0,1.6,0,NA,NA,NA,NA,NA,NA,NA,NA,15,96.3,3.261,0,0.033,50.9,46.8,12.4,6,5.8,0.246,85.5,0.128,1.9,0,0,23.6,23.7,81.6,112,1.696428571,45.44642857
4202,1,APOE3,210614-29,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,3,2.645,30,52.1,1,1,1,50.1,1,0,0.9,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9,114.7,2.538,0,0.022,49,67.9,30,0,0,0,NA,NA,0,0,0,NA,NA,82.1,146.9,0,33.35602451
4203,1,APOE3,210614-30,E3HN_M,E3HN,Male,12,Young,Control,Day2_IdenticalObject,3,2.805,69.3,40.3,0,0,0,NA,0,0,0,0,2,1.5,1,29.6,1.5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,12,101.9,2.131,0,0.02,33.5,73.2,66.4,1,1,0.071,93.4,0.202,0.4,0,0,NA,NA,109.6,173.5,0.23054755,19.30835735
4204,1,APOE2,210614-1,E2HN_F,E2HN,Female,12,Young,HFD,Day2_ShortTermMemory,4,2.215,94.1,20.6,0,0,0,NA,0,0,0,0,1,1.5,1,68.7,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,118.3,1.951,0,0.017,18.8,99.4,94.1,0,0,0.221,68.6,0.154,1.4,0,0,7.8,0,114.7,213.7,0.655124006,8.797379504
4205,1,APOE2,210614-2,E2HN_F,E2HN,Female,12,Young,HFD,Day2_ShortTermMemory,4,5.268,63.9,33.6,2,2,0.5405405,87.2,2,0,1.4,0,2,1.7,0.4594595,74.6,1.7,0,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,8,101,2.462,2.1,0.025,10.6,86.4,63.9,6,4.8,0.749,0,0.151,5,0,0,NA,NA,97.5,165.9,3.013863773,6.3893912
4206,1,APOE2,210614-3,E2HN_F,E2HN,Female,12,Young,HFD,Day2_ShortTermMemory,4,1.899,93.8,24.7,1,0.6,0.1132075,38.1,0.6,0,0.3,0,2,4.7,0.8867925,34.7,2.6,2.1,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,4,108.4,1.007,3.2,0.01,13.6,83.8,84.1,3,6.4,0.303,0,0.078,3.9,0,0,NA,NA,118.5,185.4,2.103559871,7.335490831
4207,1,APOE2,210614-4,E2HN_F,E2HN,Female,12,Young,HFD,Day2_ShortTermMemory,4,4.17,86.2,46.7,0,0,0,NA,0,0,0,0,1,1,1,57.5,1,0,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,115.5,3.382,0,0.029,41.5,73.3,86.2,1,1.4,0.158,57.1,0.106,1.5,0,0,NA,NA,132.9,202.5,0.740740741,20.49382716
4208,1,APOE2,210614-5,E2HN_F,E2HN,Female,12,Young,HFD,Day2_ShortTermMemory,4,6.242,17.2,72.4,6,5.7,0.5428571,45.4,5.7,0,2.3,0,8,4.8,0.4571429,49.1,4.8,0,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,15,81.1,2.869,0,0.04,34.9,37.6,14,9,20,1.367,23.4,0.074,18.5,0,0,8.8,6.6,89.6,105,17.61904762,33.23809524
4209,1,APOE2,210614-6,E2HN_M,E2HN,Male,12,Young,HFD,Day2_ShortTermMemory,4,2.87,70,34.3,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,116.2,2.515,0,0.022,29.6,83,69,1,0.1,0,119.9,0,0.1,0,0,NA,NA,104.3,181.7,0.055035773,16.29058888
4210,1,APOE2,210614-7,E2HN_M,E2HN,Male,12,Young,HFD,Day2_ShortTermMemory,4,0.742,109.7,10.8,1,0.1,1,115.2,0.1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,118.1,0.466,0,0.004,9.2,109.2,109.7,1,0.9,0.141,114.7,0.176,0.8,0,0,NA,NA,120.5,228.9,0.349497597,4.019222368
4211,1,APOE3,210614-8,E3HN_M,E3HN,Male,12,Young,HFD,Day2_ShortTermMemory,4,4.039,78.9,32.3,3,2.8,0.8,2,1.7,1.1,0.1,0,1,0.7,0.2,72.2,0.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,107.2,2.287,8.1,0.023,19.4,80.1,74.8,4,6.3,0.342,0.6,0.04,5.4,3.1,1.7,NA,NA,111.2,184.5,2.926829268,10.51490515
4212,1,APOE3,210614-9,E3HN_M,E3HN,Male,12,Young,HFD,Day2_ShortTermMemory,4,1.872,73.6,23.9,1,2.3,0.5348837,27.1,0.1,2.2,2.2,0,1,2,0.4651163,23.4,2,0,1.3,0,NA,NA,NA,NA,NA,NA,NA,NA,18,73.7,1.395,0,0.013,18.5,91.8,72.4,6,4,0.121,26.4,0.145,0.8,0,0,33.8,60.9,97.5,183.5,0.435967302,10.08174387
4213,1,APOE3,210614-10,E3HN_M,E3HN,Male,12,Young,HFD,Day2_ShortTermMemory,4,3.736,18.2,66,4,11.7,0.4482759,70.6,4.4,7.4,7,0,9,14.4,0.5517241,0,7.4,7.1,4.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,10,64.9,1.785,1.5,0.028,33.8,31,13.4,11,33.4,0.565,0,0.019,18.3,11.7,2.4,NA,NA,84.2,110.6,16.54611212,30.56057866
4214,1,APOE3,210614-11,E3HN_M,E3HN,Male,12,Young,HFD,Day2_ShortTermMemory,4,0.339,112.8,3.5,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,119.8,0.339,0,0.003,3.5,116.5,112.8,0,0,0,NA,NA,0,0,0,NA,NA,116.3,232.8,0,1.503436426
4215,1,APOE3,210614-12,E3HN_M,E3HN,Male,12,Young,HFD,Day2_ShortTermMemory,4,3.037,76.9,36.2,1,2,0.3076923,117.2,2,0,0.8,0,2,4.5,0.6923077,0.4,2.8,1.7,1.1,0,NA,NA,NA,NA,NA,NA,NA,NA,9,105.5,2.226,0.3,0.022,26.8,76.2,73.6,5,5.5,0.195,0.7,0.054,3.6,0,0,NA,NA,113.1,180.2,1.997780244,14.87236404
4216,1,APOE3,210614-13,E3HN_F,E3HN,Female,12,Young,HFD,Day2_ShortTermMemory,4,1.923,68.9,14.2,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,115.8,1.273,1.6,0.015,10.9,72.2,57.2,2,3.6,0.65,0,0.408,1.6,0,0,0.9,1.5,83.1,141.9,1.127554616,7.681465821
4217,1,APOE3,210614-14,E3HN_F,E3HN,Female,12,Young,HFD,Day2_ShortTermMemory,4,3.147,83.3,24.2,1,1.7,0.3035714,79.1,1.7,0,0.6,0,2,3.9,0.6964286,57.1,1.4,2.5,1.4,0,NA,NA,NA,NA,NA,NA,NA,NA,12,100.9,1.563,2.5,0.015,10.4,93.1,83.3,7,4.7,0.166,0,0.059,2.8,0,0,NA,NA,107.5,189.6,1.476793249,5.485232068
4218,1,APOE3,210614-16,E3HN_F,E3HN,Female,12,Young,HFD,Day2_ShortTermMemory,4,2.598,85.9,20.9,0,0,0,NA,0,0,0,0,2,4,1,50,1.1,2.9,2.3,0,NA,NA,NA,NA,NA,NA,NA,NA,6,110,1.901,1.2,0.017,15.1,96.1,85.9,5,4.1,0,NA,NA,0,0,0,NA,NA,106.8,197.1,0,7.661085743
4219,1,APOE3,210614-15,E3HN_F,E3HN,Female,12,Young,HFD,Day2_ShortTermMemory,4,10.99,72,59.6,4,2.8,0.4827586,3.3,2.8,0,0.5,0,1,3,0.5172414,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,83.4,5.562,3.3,0.067,25.7,57.4,61.6,7,12.5,1.267,7.2,0.083,15.3,0,5.2,NA,NA,131.6,165.2,9.261501211,15.55690073
