Badea_ID,Eigengene_1,Eigengene_2,Eigengene_3,Eigengene_4,Eigengene_5,Eigengene_6,Eigengene_7,Eigengene_8,Eigengene_9,Eigengene_10
200302_6,-0.4901799447538175,15.830535467318025,33.83792522979733,15.327352118835396,-11.825847039421655,-16.363925089742636,-1.3187058174079114,6.185115597869099,1.2880516903403127,-4.301188126321859
200302_7,-10.026999186964014,15.92408972844188,21.36423550566453,10.653408581532428,-12.38849561515288,-15.142648761616005,-2.320071128616687,2.6635804427415875,3.2927061884544417,1.4634148202981299
200302_8,-19.929126873680463,-14.840845289856192,-8.075670222171237,34.2170687311023,5.902753486131997,-21.21494810743934,2.905852757651368,-0.9203352743862332,-1.5951203692714908,-2.2988757163449622
200302_9,52.641408592061254,65.54707122890144,117.35838999525632,1.33268390455494,-50.873634374852166,-42.29465665257284,-15.598951393437734,94.0994826113436,21.1022678579924,-20.416485183802852
200331_1,24.457110962060884,-17.423885344452305,29.486467401290437,6.325901209171453,-3.432654654444465,-5.178792853027352,-1.822475976524717,-1.694297820270308,2.4111509003311618,4.014128591105837
200331_10,-8.094686981863433,11.241754105222608,19.78490577655352,13.733685697746374,-8.997895771856461,-13.433592318191229,5.998417267417761,0.5018624073689071,-0.2023191002610461,-1.3482817611761988
200331_11,11.864365318831748,-28.91386359882888,2.878220153546549,8.677723829589059,10.700872798779509,4.760559158152143,1.1269597413926524,2.9746660082194825,-4.838257385068358,-5.534236372778544
200331_12,8.316300410979768,-19.8190270895423,2.373666635888886,4.829968790215124,13.150270653666679,6.4591319248979095,13.201975835965913,4.854885711442785,-9.130718862118798,-8.945397986398389
200331_13,7.832360153079866,-36.05465153532012,-21.043392898697295,-4.309215746598496,5.607576857748456,14.186908755080575,9.04799703521247,20.697949047452752,3.854546148243581,2.9925116096970634
200331_14,1.1296466032215173,-32.02880837054243,-0.1524285263168124,36.12718809332626,10.240477667066012,-20.036991858666624,-1.814065039952697,-0.2721265246623837,4.111744875356312,3.974784495567867
200331_15,-19.545510600113943,-16.274319096739568,-10.101060168599915,27.477383680526575,2.0097872035231887,-19.818769441272043,1.750862766670108,-0.08556369553050693,2.962355938803861,2.7161364737864617
200331_16,27.015037649565848,-43.10632589030347,4.406305329019727,12.659318473786405,14.080706684569616,5.409397926709808,-1.0693777600556538,3.3780542216821283,3.1032514348724165,2.4974083252615813
200331_17,14.052833620379431,-43.06014965749033,-8.431280947063275,5.012604557199902,8.200636547918794,5.224841631492279,2.1211818373649396,5.142977006108801,4.5970191135296865,5.663946685103104
200331_18,-15.024893887992697,-11.210275434319218,-3.1245721170055973,28.63431815348776,6.2584829266573445,-14.018451605989174,2.3940469330909377,1.5427384430434794,-0.3524892896786138,-5.725715370188314
200331_2,4.414024421645793,-15.72055015077024,10.963623256802528,8.34238109066678,-4.190039158634492,-10.43452726786736,-2.4686128528238385,0.8169100644555143,4.595003839601615,5.185259078326679
